AKBLIG-RXN	EG10512
IMIDPHOSDEHYD-RXN	EG10445
GDPPYPHOSKIN-RXN	EG10966
GDPPYPHOSKIN-RXN	EG10835
METHYLMALONYL-COA-MUT-RXN	EG11444
GLYOXYLATE-REDUCTASE-NADP+-RXN	EG12272
GLYOXYLATE-REDUCTASE-NADP+-RXN	G6539
LCYSDESULF-RXN	EG10583
LCYSDESULF-RXN	EG10192
LCYSDESULF-RXN	EG10193
LCYSDESULF-RXN	EG11005
LCYSDESULF-RXN	EG10564
RXN0-3364	G7414
RXN0-1924	EG12445
RXN0-1924	EG11639
RXN0-1923	EG12445
RXN0-1923	EG11639
RXN0-1922	EG12717
DAPASYN-RXN	EG10117
QUINOPRIBOTRANS-RXN	EG11546
RIBOFLAVINSYNREDUC-RXN	EG11321
PSERTRANSAM-RXN	EG10946
PHOSGLYPHOS-RXN	EG10703
CHERTRGM-RXN	EG10148
RXN0-5234	EG10408
RXN0-5231	EG10853
ASPAMINOTRANS-RXN	EG10096
CHEBTRGD-RXN	EG10147
TRANS-RXN-92	EG12240
TRANS-RXN-92	EG10014
TRANS-RXN-92	EG13283
TRANS-RXN-92	EG11354
TRANS-RXN-92	EG12241
TRANS-RXN-92	EG11009
TRANS-RXN-92	EG11439
TRANS-RXN-92	G7113
TRANS-RXN-92	EG11952
TRANS-RXN-92	EG11704
TRANS-RXN-92	G7114
TRANS-RXN-92	EG11953
TRANS-RXN-92	EG11703
TRANS-RXN-92	G7115
TRANS-RXN-92	EG11954
TRANS-RXN-92	G7233
TRANS-RXN-92	EG10267
TRANS-RXN-92	EG10266
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	G7564
TRANS-RXN-90	EG12367
TRANS-RXN-90	G6322
TRANS-RXN-90	G6321
TRANS-RXN-90	G6320
MMUM-RXN	G6136
ASPARAGINE--TRNA-LIGASE-RXN	EG10094
RXN0-5240	EG10408
TRANS-RXN-94	EG10578
TRANS-RXN-99	EG10112
ACETYL-COA-ACETYLTRANSFER-RXN	EG11672
NITRIC-OXIDE-REDUCTASE-RXN	G7413
TRANS-RXN-98	EG11658
3.4.16.4-RXN	EG10203
3.4.16.4-RXN	EG10201
3.4.16.4-RXN	EG11893
3.4.16.4-RXN	G7265
3.4.16.4-RXN	EG12867
OXALOACETATE-TAUTOMERASE-RXN	EG10356
ALADEHYDCHLORO-RXN	G7038
TREHALOSEPHOSPHA-RXN	EG11752
RXN0-3381	EG11723
URACIL-PRIBOSYLTRANS-RXN	EG11332
RXN0-5243	EG10144
RXN-11396	EG10626
ABC-28-RXN	EG10816
ABC-28-RXN	EG10815
ABC-28-RXN	EG10814
TRANS-RXN-81	EG12563
TRANS-RXN-82	EG12034
TRANS-RXN-82	EG11754
TRANS-RXN-86	EG11160
TRANS-RXN-86	EG11180
TRANS-RXN-86	G6255
RXN-6321	EG10408
RXN0-703	EG12279
RXN0-704	EG12284
RXN0-705	G7858
RXN0-705	EG12285
RXN0-6377	EG10655
RXN0-6377	EG10653
RXN0-5258	EG10394
THIOSULFATE-SULFURTRANSFERASE-RXN	EG10780
THIOSULFATE-SULFURTRANSFERASE-RXN	EG10395
THIOSULFATE-SULFURTRANSFERASE-RXN	EG11600
RXN0-5256	EG10469
RXN0-5256	EG10468
RXN0-5256	EG11801
RXN0-5256	EG11800
RXN0-5256	EG10470
RXN0-5256	EG11799
RXN0-5256	G7554
ALCOHOL-DEHYDROG-GENERIC-RXN	EG10031
ALCOHOL-DEHYDROG-GENERIC-RXN	G6775
RXN0-6381	G6117
RXN0-6381	G6109
RXN0-6381	EG11131
RXN0-6381	G7602
ACID-PHOSPHATASE-RXN	EG11934
RXN0-5260	EG10393
RXN0-5260	EG10391
RXN0-5260	EG10392
RXN0-6385	EG10395
RXN0-6382	G7530
ACNEULY-RXN	EG10637
GALPMUT-RXN	EG11981
ACETALD-DEHYDROG-RXN	EG10031
ACETALD-DEHYDROG-RXN	M014
RXN0-5268	EG10179
RXN0-5268	EG10178
RXN0-5268	EG10180
RXN0-5268	EG10181
AICARTRANSFORM-RXN	EG10795
RXN0-6367	G6862
RXN0-6366	G6435
RXN0-5264	G7022
RXN0-5264	G7023
RXN0-5264	EG11815
RXN0-5264	EG11814
RXN0-6369	EG12060
RXN0-6369	EG12067
RXN0-6369	EG12064
RXN0-6369	EG12061
RXN0-6369	EG12062
DXPREDISOM-RXN	EG12715
LEUCYLTRANSFERASE-RXN	EG11112
RXN0-5266	EG11379
RXN0-5266	EG11380
RXN0-5266	EG10174
RXN0-5266	EG10173
2.7.1.148-RXN	EG11294
RXN0-6371	G6437
RXN0-6373	EG10369
RXN0-724	EG11417
RXN0-722	EG20257
RXN0-722	EG12381
RXN0-723	EG11417
RXN-11860	EG11888
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	EG11143
RXN-12473	G6952
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	EG10454
RXN-12886	G6523
PGLUCISOM-RXN	EG10702
THI-P-SYN-RXN	EG11586
RXN0-5205	EG12215
RXN0-5204	EG12310
RXN0-5203	EG12504
CITSYN-RXN	EG10402
CITSYN-RXN	G6198
THYKI-RXN	EG10994
3.4.21.53-RXN	EG10542
RXN0-5202	EG12504
RXN0-5201	EG12504
RXN0-5200	EG10107
RXN-11867	G7327
RXN-12093	G6245
RXN-11866	G7327
LIPIDADISACCHARIDESYNTH-RXN	EG10546
RXN-11865	EG11888
GLYCEROL-1-PHOSPHATASE-RXN	G7187
DHHB-METHYLTRANSFER-RXN	EG11143
DEOXYGLUCONOKIN-RXN	EG12253
4OH2OXOGLUTARALDOL-RXN	EG10256
1.5.1.20-RXN	EG10585
GDPMANDEHYDRA-RXN	EG11787
RXN-12480	EG11538
3.4.21.102-RXN	EG10760
7KAPSYN-RXN	EG10121
SUCCGLUDESUCC-RXN	G6940
MCPTRG-RXN	EG10147
3.4.21.92-RXN	EG10159
3.4.21.92-RXN	EG10158
3.4.21.92-RXN	EG10156
QUINOLINATE-SYNTHA-RXN	EG10630
RIBOSYLNICOTINAMIDE-KINASE-RXN	EG11335
NUCLEOSIDE-DIP-KIN-RXN	EG10650
RXN0-5223	G7123
TRIOSEPISOMERIZATION-RXN	EG11015
RXN0-5227	G6621
RXN0-5226	G6567
RXN0-5225	G6452
RXN0-5225	EG10041
RXN-12071	G7335
RXN-12072	G7334
RXN-12072	G7336
RXN-12072	M015
RXN-12072	M009
RXN-12073	M011
RXN0-5229	G7945
RXN0-5228	G6661
RXN-12070	M012
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	EG12069
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	G495
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	EG10144
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	EG10114
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	EG10085
RXN0-5210	EG11983
RXN-12896	G6522
RXN0-5211	EG10443
RXN0-5214	G7855
RXN0-5213	G6958
RXN0-5216	EG13236
RXN0-5217	EG10963
XYLISOM-RXN	EG11074
RXN0-4581	EG12267
UDPKIN-RXN	EG10650
PGLUCONDEHYDRAT-RXN	EG10257
PABASYN-RXN	EG10683
PABASYN-RXN	EG10682
H2PTERIDINEPYROPHOSPHOKIN-RXN	EG11374
KDPGALDOL-RXN	EG10256
ARGININE-N-SUCCINYLTRANSFERASE-RXN	G6943
GDPMANMANHYDRO-RXN	EG11789
ALPHAGALACTOSID-RXN	EG10577
NADH-DEHYDROG-A-RXN	EG12088
NADH-DEHYDROG-A-RXN	EG12087
NADH-DEHYDROG-A-RXN	EG12089
NADH-DEHYDROG-A-RXN	EG12084
NADH-DEHYDROG-A-RXN	EG12083
NADH-DEHYDROG-A-RXN	EG12086
NADH-DEHYDROG-A-RXN	EG12093
NADH-DEHYDROG-A-RXN	EG12092
NADH-DEHYDROG-A-RXN	EG12091
NADH-DEHYDROG-A-RXN	EG12082
NADH-DEHYDROG-A-RXN	EG12090
NADH-DEHYDROG-A-RXN	EG11773
NADH-DEHYDROG-A-RXN	EG11774
TETRAACYLDISACC4KIN-RXN	EG11409
ALARACECAT-RXN	EG10001
ALARACECAT-RXN	EG11408
3.4.11.18-RXN	EG10570
PHOSPHASERDECARB-RXN	EG10775
3.4.21.87-RXN	EG10673
RXN-11836	EG12433
RXN-11837	EG12098
RXN-11834	G6581
RXN-11835	EG11921
ABC-22-RXN	EG10675
ABC-22-RXN	EG10674
ABC-22-RXN	EG10678
ABC-22-RXN	EG10677
ABC-22-RXN	EG10676
ABC-22-RXN	EG12041
ABC-22-RXN	EG12040
ABC-22-RXN	EG12037
ABC-22-RXN	EG12038
RXN-11832	EG11265
RXN-11833	EG12044
RXN-11831	EG11265
ASPARTASE-RXN	EG10095
GLURS-RXN	EG10407
RXN-11838	EG11118
RXN-11839	EG11177
GLUTAMIDOTRANS-RXN	EG10448
GLUTAMIDOTRANS-RXN	EG10450
NICOTINATEPRIBOSYLTRANS-RXN	EG10742
DIHYDROPICRED-RXN	EG10206
RXN-11840	G7449
RXN-11841	G7422
CYTDEAM-RXN	EG11326
RXN-11842	EG12609
RXN-11843	EG12609
RXN-11845	EG11507
FMNREDUCT-RXN	EG10334
DTMPKI-RXN	EG12302
ABC-18-RXN	EG10592
ABC-18-RXN	EG12520
ABC-18-RXN	EG10594
ABC-18-RXN	EG10593
ABC-18-RXN	EG12517
ABC-18-RXN	EG12439
ABC-18-RXN	EG12518
RXN0-2101	G6845
RXN0-2101	G6846
RXN0-2101	G6847
RXN0-2101	G6848
AMINOPROPDEHYDROG-RXN	EG11904
ACYL-COA-HYDROLASE-RXN	EG10995
ACYL-COA-HYDROLASE-RXN	EG11121
ERYTHRON4PDEHYDROG-RXN	G0-9461
DIHYDROXYMETVALDEHYDRAT-RXN	EG10496
2.7.10.1-RXN	EG11826
GARTRANSFORMYL2-RXN	EG11809
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EG11358
NMNAMIDOHYDRO-RXN	G7409
RXN0-2121	EG10272
RXN0-2121	EG11012
RXN0-2121	EG10271
RXN0-2121	EG12334
RXN0-2121	EG10127
RXN0-2121	EG10126
RXN0-2121	EG10128
NACGLCTRANS-RXN	EG10623
HEMEOSYN-RXN	EG10182
PGLYCDEHYDROG-RXN	EG10944
TRANS-RXN-158A	EG10567
TRANS-RXN-158A	EG10569
TRANS-RXN-158A	EG10568
GLUTCYSLIG-RXN	EG10418
PHENYLSERINE-ALDOLASE-RXN	G6455
RHAMNULPALDOL-RXN	EG11866
SUCCORNTRANSAM-RXN	G6944
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EG10545
ACETYLESTERASE-RXN	EG11101
UROGENIIISYN-RXN	EG10430
TETHYDPICSUCC-RXN	EG10207
COBINPGUANYLYLTRANS-RXN	EG13238
TAGAKIN-RXN	EG10700
DIHYDROFOLATEREDUCT-RXN	G6862
DIHYDROFOLATEREDUCT-RXN	EG10326
RXN-12402	EG11685
2.3.1.118-RXN	G6770
CHERTSRM-RXN	EG10148
RIBOFLAVINSYNDEAM-RXN	EG11321
CYTIDEAM-RXN	EG10137
THIFAMP-RXN	EG11587
ADENYLOSUCCINATE-SYNTHASE-RXN	EG10790
DIAMACTRANS-RXN	G6842
RXN0-2522	EG13235
RXN0-2141	EG10274
RXN0-2142	EG11318
RXN0-2145	EG11528
RXN0-2144	EG10273
RXN0-2144	EG11284
THIKIN-RXN	G6566
DHBAMPLIG-RXN	EG10263
TRANS-RXN0-162	EG12059
TRANS-RXN0-162	EG12058
TRANS-RXN0-162	EG12169
TRANS-RXN0-162	EG12055
TRANS-RXN0-162	EG12057
PNPOXI-RXN	EG11487
ABC-64-RXN	G6219
ABC-64-RXN	G6218
ABC-64-RXN	G6217
1.8.4.14-RXN	G7005
1.8.4.14-RXN	EG12394
3.1.3.16-RXN	G7011
3.1.3.16-RXN	G7415
R303-RXN	EG11261
GMP-SYN-GLUT-RXN	EG10420
PANTOATE-BETA-ALANINE-LIG-RXN	EG11746
QUERCETIN-23-DIOXYGENASE-RXN	G7756
ISOCIT-CLEAV-RXN	EG10022
HISTOLDEHYD-RXN	EG10447
RXN0-2542	G6657
3.1.26.4-RXN	EG10860
3.1.26.4-RXN	EG10861
D-PPENTOMUT-RXN	EG10220
RXN0-2161	EG10947
2PGADEHYDRAT-RXN	EG10258
GLUCONOKIN-RXN	EG12629
GLUCONOKIN-RXN	EG12152
GMKALT-RXN	EG10965
HISTIDPHOS-RXN	EG10445
3.1.27.6-RXN	EG10856
RXN-8974	G6519
RXN-8974	EG12345
RXN0-2162	EG12462
RXN-9659	EG11528
1.1.1.215-RXN	EG12272
TRANS-RXN0-181	G7806
TRANS-RXN0-181	EG11479
TRANS-RXN0-181	EG11305
TRANS-RXN0-181	G7808
2.1.1.34-RXN	EG10967
RXN-9657	EG11528
RXN-9658	EG11528
RXN-9663	EG11528
RXN-9662	EG11528
UNDECAPRENYL-DIPHOSPHATASE-RXN	G6439
UNDECAPRENYL-DIPHOSPHATASE-RXN	EG10705
UNDECAPRENYL-DIPHOSPHATASE-RXN	EG11665
RXN-9661	EG11528
RXN-9660	EG11528
MALONYL-COA-ACP-TRANSACYL-RXN	EG11317
2.5.1.64-RXN	EG10579
PMPOXI-RXN	EG11487
TRANS-RXN-153A	EG10115
TRANS-RXN-153A	EG10086
RXN0-2181	EG10272
RXN0-2181	EG10293
RXN0-2181	EG10294
RXN0-2181	EG10295
RXN0-2181	EG10296
RXN0-2181	EG11012
RXN0-2181	EG10271
RXN0-2181	EG10298
RXN-8991	EG11576
RXN-8991	EG11575
RXN-8992	EG10017
ABC-35-RXN	EG10536
ABC-35-RXN	EG10541
ABC-35-RXN	EG10540
ABC-35-RXN	EG10539
ABC-35-RXN	EG10537
ABC-35-RXN	EG10538
PTAALT-RXN	EG20173
CDPDIGLYSYN-RXN	EG10139
RXN0-2561	EG12400
3-ISOPROPYLMALISOM-RXN	EG11576
3-ISOPROPYLMALISOM-RXN	EG11575
RXN-12444	G6479
RXN-12445	EG10334
UDPNACETYLMURAMATEDEHYDROG-RXN	EG11205
FUMHYDR-RXN	EG10357
FUMHYDR-RXN	EG10358
FUMHYDR-RXN	EG10356
RXN-12458	EG11023
GALACTUROISOM-RXN	G81
RXN-8999	G6092
RIBAZOLEPHOSPHAT-RXN	G6349
CYSTATHIONINE-BETA-LYASE-RXN	EG10583
CYSTATHIONINE-BETA-LYASE-RXN	EG10564
DCYSDESULF-RXN	G7038
OROPRIBTRANS-RXN	EG10808
SULFITE-REDUCT-RXN	EG10191
SULFITE-REDUCT-RXN	EG10190
RXN0-4522	EG11504
RXN0-4522	EG11621
RXN0-4522	EG11737
FOLYLPOLYGLUTAMATESYNTH-RXN	EG10327
RXN0-4121	EG12172
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EG11377
2-OCTAPRENYLPHENOL-HYDROX-RXN	EG11476
TRANS-RXN-155B	EG10141
TRANS-RXN-155B	EG10140
TRANS-RXN-155B	EG10142
HCAMULTI-RXN	G7334
HCAMULTI-RXN	G7336
HCAMULTI-RXN	M015
HCAMULTI-RXN	M009
DLACTDEHYDROGFAD-RXN	EG10231
PALMITOTRANS-RXN	G7241
3.4.11.2-RXN	EG10696
RXN0-2584	EG11058
O-SUCCINYLBENZOATE-COA-SYN-RXN	EG11532
1.8.4.13-RXN	EG11433
1.8.4.13-RXN	EG10124
GST-RXN	G7193
GST-RXN	G6878
RXN0-1342	EG10812
ABC-16-RXN	EG10554
ABC-16-RXN	EG10558
ABC-16-RXN	EG10556
ABC-16-RXN	EG10555
R15-RXN	G6329
PRAISOM-RXN	EG11026
1.8.4.8-RXN	EG10189
METHYLENETHFDEHYDROG-NADP-RXN	EG10328
2.9.1.1-RXN	EG10941
GMP-SYN-NH3-RXN	EG10420
N-ACETYLGLUCOSAMINE-KINASE-RXN	G6576
DISULFOXRED-RXN	EG11070
DISULFOXRED-RXN	G6333
DISULFOXRED-RXN	EG11297
RXN0-1842	EG12180
SUCCGLUALDDEHYD-RXN	G6942
3.1.11.2-RXN	EG11073
GLYCINE--TRNA-LIGASE-RXN	EG10409
GLYCINE--TRNA-LIGASE-RXN	EG10410
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EG10863
CHORISMATE-SYNTHASE-RXN	EG10075
RXN-6622	EG10695
PROPKIN-RXN	EG11172
PROPKIN-RXN	EG10027
LYSDECARBOX-RXN	EG10131
LYSDECARBOX-RXN	G6094
3.4.23.43-RXN	EG11359
ABC-56-RXN	G6478
ABC-56-RXN	G6476
ABC-56-RXN	EG12358
RXN0-1321	EG10996
3.1.21.2-RXN	EG10651
CDPDIGLYPYPHOSPHA-RXN	EG10138
ADPSUGPPHOSPHAT-RXN	G7740
ADPSUGPPHOSPHAT-RXN	EG12633
ABC-25-RXN	EG11630
ABC-25-RXN	EG10752
ABC-25-RXN	EG10751
ABC-25-RXN	EG11632
ABC-25-RXN	EG10750
ABC-25-RXN	EG11631
ABC-25-RXN	EG11629
ABC-25-RXN	EG10749
RXN0-1861	G7168
3.4.24.55-RXN	EG10786
SUCCDIAMINOPIMDESUCC-RXN	EG10208
RXN0-1862	G7168
RXN0-1863	G7166
3.5.1.28-RXN	EG11823
3.5.1.28-RXN	EG10041
3.5.1.28-RXN	EG11363
3.5.1.28-RXN	G7458
URPHOS-RXN	EG11045
AGMATIN-RXN	EG10960
RXN0-4701	G0-9121
MALTODEXGLUCOSID-RXN	EG10565
VALINE--TRNA-LIGASE-RXN	EG11067
DIHYDRODIPICSYN-RXN	EG10205
INOSINEKIN-RXN	EG11102
RXN0-4083	EG12732
PHOSNACMURPENTATRANS-RXN	EG10604
IMPCYCLOHYDROLASE-RXN	EG10795
RXN0-3601	EG11559
LAUROYLACYLTRAN-RXN	EG10464
RXN0-1382	G7237
RXN0-2945	EG12318
ADOMET-DMK-METHYLTRANSFER-RXN	EG11473
RXN0-2941	EG10575
RXN0-2941	EG10574
RXN0-2942	EG10573
RXN0-2943	EG12318
GTP-CYCLOHYDRO-II-RXN	EG11331
RXN0-1882	EG11852
LYSOPHOSPHOLIPASE-RXN	EG10739
LYSOPHOSPHOLIPASE-RXN	EG11542
OHACYL-COA-DEHYDROG-RXN	EG10279
OHACYL-COA-DEHYDROG-RXN	G7212
EXOPOLYPHOSPHATASE-RXN	EG11403
MHPCHYDROL-RXN	M012
TRNA-CYTIDYLYLTRANSFERASE-RXN	EG10136
BIOTIN-CARBOXYL-RXN	EG10276
NADPH-DEHYDROGENASE-FLAVIN-RXN	EG10191
RXN0-4022	G7452
3-OXOACYL-ACP-SYNTH-BASE-RXN	EG10274
3-OXOACYL-ACP-SYNTH-BASE-RXN	EG12606
METHIONINE--TRNA-LIGASE-RXN	EG10586
RXN0-2921	EG10327
IGPSYN-RXN	EG11026
ABC-24-RXN	EG10752
ABC-24-RXN	EG10751
ABC-24-RXN	EG10750
ABC-24-RXN	EG10749
GLYOCARBOLIG-RXN	EG11583
UGD-RXN	G7091
2-METHYLCITRATE-DEHYDRATASE-RXN	G6199
DNA-DIRECTED-DNA-POLYMERASE-RXN	EG11057
DNA-DIRECTED-DNA-POLYMERASE-RXN	EG10238
DNA-DIRECTED-DNA-POLYMERASE-RXN	EG10747
DNA-DIRECTED-DNA-POLYMERASE-RXN	EG10746
DNA-DIRECTED-DNA-POLYMERASE-RXN	EG11056
DNA-DIRECTED-DNA-POLYMERASE-RXN	G6115
ENTDB-RXN	EG10262
HISTAMINOTRANS-RXN	EG10446
UDP-NACMURALGLDAPLIG-RXN	EG10621
LYXK-RXN	EG12284
ACONITATEDEHYDR-RXN	EG12316
ACONITATEDEHYDR-RXN	EG11325
XANTHOSINEPHOSPHORY-RXN	G85
ENOYL-COA-DELTA-ISOM-RXN	EG10279
ENOYL-COA-DELTA-ISOM-RXN	G7212
RXN0-6675	EG10168
3.4.19.12-RXN	G7176
GLUCUROISOM-RXN	G81
RXN0-6676	G6760
RXN0-6677	G6760
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EG10382
ENOYL-COA-HYDRAT-RXN	G6708
ENOYL-COA-HYDRAT-RXN	EG10279
ENOYL-COA-HYDRAT-RXN	G7212
TRNA-S-TRANSFERASE-RXN	G6238
ACETYLGLUTKIN-RXN	EG10064
RXN0-6256	G7194
RXN0-6256	G7553
RXN0-6254	G7496
1.1.1.264-RXN	G7893
4.2.99.18-RXN	G6383
RXN0-6259	EG11485
RXN0-6258	EG11735
RXN0-6258	G7266
GLUTATHIONE-PEROXIDASE-RXN	EG10129
GLYOXI-RXN	G6891
GCVP-RXN	EG11810
3.1.3.74-RXN	EG11470
3.1.3.74-RXN	EG11239
3.1.3.74-RXN	G6246
UROGENDECARBOX-RXN	EG11543
LCARNCOALIG-RXN	EG11558
THYM-PHOSPH-RXN	EG10219
PYRIMSYN3-RXN	G7135
TSA-REDUCT-RXN	EG11176
DCDPKIN-RXN	EG10650
ALCOHOL-DEHYDROG-RXN	EG10031
ALCOHOL-DEHYDROG-RXN	G6775
RXN0-2501	EG12331
TRANS-RXN-126B	EG12168
TRANS-RXN-126A	EG12168
DCTP-PYROPHOSPHATASE-RXN	G7164
DIAMINOPIMDECARB-RXN	EG10549
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EG10316
RXN0-6277	EG10124
ALTRO-OXIDOREDUCT-RXN	EG11065
RIB5PISOM-RXN	EG11443
RIB5PISOM-RXN	EG11827
GLUCDEHYDROG-RXN	EG10369
RXN0-6274	EG10595
IPPISOM-RXN	G7508
ALLOSE-KINASE-RXN	EG11956
PYRUFLAVREDUCT-RXN	G6701
1PFRUCTPHOSN-RXN	EG10337
AMINOCYL-TRNA-HYDROLASE-RXN	EG12354
AMINOCYL-TRNA-HYDROLASE-RXN	EG10785
RXN0-1802	EG10280
RXN-13418	G6477
RXN-5076	G7501
RXN-5076	EG11194
PGLYCEROLTRANSI-RXN	EG12591
MCPMETEST-RXN	EG10147
DTDPDEHYRHAMREDUCT-RXN	EG12411
METHYLISOCITRATE-LYASE-RXN	G6196
RXN-5068	G6543
RXN-5068	G6544
RXN-5068	G6545
ACYLGPEACYLTRANS-RXN	EG11679
RXN0-1804	EG10528
TRANS-RXN-205A	EG10928
RXN-7716	EG10543
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EG11779
TYRAMINOTRANS-RXN	EG10096
TYRAMINOTRANS-RXN	EG11040
SUPEROX-DISMUT-RXN	G6886
SUPEROX-DISMUT-RXN	EG10953
SUPEROX-DISMUT-RXN	EG10954
DIAMINOPIMEPIM-RXN	EG10209
RXN-12352	EG11379
RXN-12352	EG11380
DMK-RXN	EG11880
RXN-12353	EG10037
R601-RXN	EG10330
R601-RXN	EG10333
R601-RXN	EG10332
R601-RXN	EG10331
3.1.22.4-RXN	RUVB
3.1.22.4-RXN	RUVA
3.1.22.4-RXN	EG10925
DIHYDROXYISOVALDEHYDRAT-RXN	EG10496
RXN-10940	EG10049
GLYCOLALDREDUCT-RXN	EG10351
LACTALDREDUCT-RXN	EG10351
6PFRUCTPHOS-RXN	EG10699
6PFRUCTPHOS-RXN	EG10700
PUTTRANSAM-RXN	G7596
RXN0-5107	G7164
RXN0-5108	EG12410
BADH-RXN	EG10110
GPH-RXN	EG11871
GLYCOGEN-BRANCH-RXN	EG10378
RXN0-5100	EG10737
RXN0-5101	G6890
ADENODEAMIN-RXN	EG10030
RXN0-5103	EG10397
ASNSYNA-RXN	EG10091
ASNSYNA-RXN	EG10092
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EG11675
RXN0-2461	EG12494
RXN0-2461	EG12495
RXN0-2461	G7856
BETA-LACTAMASE-RXN	EG10040
BETA-LACTAMASE-RXN	EG10201
ARABISOM-RXN	EG10052
3.1.26.5-RXN	EG30069
3.1.26.5-RXN	EG10862
UREIDOGLYCOLATE-LYASE-RXN	G6275
RXN0-5130	EG12504
RXN0-5131	G6725
RXN0-5131	G6131
RXN0-5131	G7905
RXN0-5124	EG11351
RXN0-5123	EG11425
UDPACYLGLCNACDEACETYL-RXN	EG10265
RXN0-5122	EG11341
RXN0-5121	EG11340
RXN0-5128	EG11426
RXN0-5127	EG11423
RXN0-5126	EG11353
RXN0-5125	EG11352
PHOSICITDEHASE-RXN	EG10026
CHER-RXN	EG10148
RIBULP3EPIM-RXN	M004
RXN0-5129	EG11350
3.1.11.1-RXN	EG10926
LXULRU5P-RXN	G7859
LXULRU5P-RXN	EG12286
5.99.1.3-RXN	EG10424
5.99.1.3-RXN	EG10423
SIROHEME-FERROCHELAT-RXN	EG10188
RXN-8073	EG10509
RXN0-5120	EG11339
RXN0-5111	EG11942
PHOSACETYLTRANS-RXN	G7288
PHOSACETYLTRANS-RXN	EG20173
ACONITATEHYDR-RXN	EG12316
ACONITATEHYDR-RXN	EG11325
DSBD-RXN	EG12178
RXN0-5114	EG10945
RXN0-5116	EG10053
3.4.11.9-RXN	EG10697
RXN-9597	EG13139
RXN0-5118	EG11189
PYRIDOXKIN-RXN	G7259
PYRIDOXKIN-RXN	G6879
GPPSYN-RXN	EG10508
ORNCARBAMTRANSFER-RXN	EG10069
ORNCARBAMTRANSFER-RXN	EG10067
ARGSUCCINSYN-RXN	EG10068
RXN0-2441	G6806
RXN0-5522	G6991
RXN0-301	G6556
RXN0-300	EG12272
RXN0-300	G6539
RXN0-308	G7325
RXN0-307	G6456
RXN0-304	EG11957
RXN0-4461	EG10705
RXN0-5146	EG10381
RXN0-305	G6277
RXN0-5144	G7199
CYTIDINEKIN-RXN	EG11701
RXN0-302	EG11816
RXN0-303	EG11827
RXN0-5510	G7459
RXN0-5513	EG11679
5.3.3.14-RXN	EG10273
RXN0-310	G7516
RXN0-5141	EG11648
RXN0-312	G7211
RXN0-5514	EG11377
RXN0-5515	EG10139
RXN0-313	G6428
RXN0-313	EG11905
GDPKIN-RXN	EG10650
HISTIDINE--TRNA-LIGASE-RXN	EG10453
GLU6PDEHYDROG-RXN	EG11221
NANK-RXN	G7676
RXN0-2421	G7254
DARAB5PISOM-RXN	G7662
DARAB5PISOM-RXN	EG10973
HISTALDEHYD-RXN	EG10447
FGAMSYN-RXN	EG10797
URITRANS-RXN	EG11411
3.1.4.14-RXN	EG11095
POLYPHOSPHATE-KINASE-RXN	EG11510
ABC-34-RXN	EG11046
ABC-34-RXN	EG11047
ABC-34-RXN	EG11048
ABC-34-RXN	EG11049
GABATRANSAM-RXN	G6646
GABATRANSAM-RXN	EG10361
3.1.11.6-RXN	EG11098
3.1.11.6-RXN	EG11072
5.3.4.1-RXN	EG11070
5.3.4.1-RXN	G6333
TRE6PHYDRO-RXN	EG11402
RXN0-3	EG10012
RXN0-3	EG11405
RXN0-1	EG10661
RXN0-1	EG20257
RXN0-1	EG12381
RXN0-1	EG10660
RXN0-5195	EG10696
RXN0-0	G7921
RXN0-5192	G7836
RXN0-5190	EG10246
RXN0-5190	G6622
RXN0-5190	G7410
RXN0-5190	G7457
RXN0-5190	EG10950
RXN0-5190	G7533
RXN0-5190	EG11373
GSADENYLATION-RXN	EG11602
NAG1P-URIDYLTRANS-RXN	EG11198
MALSYN-RXN	EG20080
MALSYN-RXN	EG10023
GLCNACPTRANS-RXN	EG10840
TRANS-RXN-121A	EG20044
RXN0-8	EG11104
RXN0-8	EG11009
PHENPRODIOLDEHYDROG-RXN	G7335
RXN0-5189	EG10986
ERYTH4PDEHYDROG-RXN	EG10368
TRANS-RXN-121B	EG20044
RXN0-6	EG11873
RXN0-5187	EG11202
RXN0-5187	G6442
TRANS-RXN-121C	EG20044
RXN0-5184	EG10560
RXN0-5183	EG10565
RXN0-5186	G7408
RXN0-5185	EG11725
RNTRACTIV-RXN	G812
RXN0-5182	EG10560
RXN0-5181	EG11316
3.6.5.1-RXN	EG10049
