standard_name,common_name_en,plural_name_en
Subalpine Warbler,Subalpine Warbler,Subalpine Warblers
Sardinian Warbler,Sardinian Warbler,Sardinian Warblers
Greater Whitethroat,Whitethroat,Whitethroats
Spectacled Warbler,Spectacled Warbler,Spectacled Warblers
Dartford Warbler,Dartford Warbler,Dartford Warblers
White-crested Laughingthrush,White-crested Laughingthrush,White-crested Laughingthrushes
Red-billed Leiothrix,Red-billed Leiothrix,Red-billed Leiothrix
Spotted Flycatcher,Spotted Flycatcher,Spotted Flycatchers
Rufous-tailed Scrub-Robin,Rufous-tailed Scrub-Robin,Rufous-tailed Scrub-Robins
European Robin,Robin,Robins
Thrush Nightingale,Thrush Nightingale,Thrush Nightingales
Common Nightingale,Nightingale,Nightingales
Bluethroat,Bluethroat,Bluethroats
Siberian Rubythroat,Siberian Rubythroat,Siberian Rubythroat
European Pied Flycatcher,Pied Flycatcher,Pied Flycatchers
Red-breasted Flycatcher,Red-breasted Flycatcher,Red-breasted Flycatchers
Redstart sp.,Redstart sp.,Redstart sp.
Moussier's Redstart,Moussier's Redstart,Moussier's Redstarts
Common Redstart,Redstart,Redstarts
Black Redstart,Black Redstart,Black Redstarts
Rufous-tailed Rock-Thrush,Rufous-tailed Rock Thrush,Rufous-tailed Rock Thrushes
Blue Rock-Thrush,Blue Rock-Thrush,Blue Rock-Thrushes
Whinchat,Whinchat,Whinchats
European Stonechat,Stonechat,Stonechats
Siberian Stonechat,Siberian Stonechat,Siberian Stonechats
Wheatear sp.,Wheatear sp.,Wheatear sp.
White-tailed Wheatear,White-crowned Wheatear,White-crowned Wheatears
Black Wheatear,Black Wheatear,Black Wheatears
Northern Wheatear,Wheatear,Wheatears
Black-eared Wheatear,Black-eared Wheatear,Black-eared Wheatears
Desert Wheatear,Desert Wheatear,Desert Wheatears
Isabelline Wheatear,Isabelline Wheatear,Isabelline Wheatears
Gray-cheeked Thrush,Grey-cheeked Thrush,Grey-cheeked Thrushes
Bicknell's Thrush,Bicknell's Thrush,Bicknell's Thrushes
Wood Thrush,Wood Thrush,Wood Thrushes
Thrush sp.,Thrush sp.,Thrush sp.
Ring Ouzel,Ring Ouzel,Ring Ouzels
Eurasian Blackbird,Blackbird,Blackbirds
Eyebrowed Thrush,Eyebrowed Thrush,Eyebrowed Thrushes
Red-throated Thrush,Red-throated Thrush,Red-throated Thrushes
Fieldfare,Fieldfare,Fieldfares
Redwing,Redwing,Redwings
Song Thrush,Song Thrush,Song Thrushes
Mistle Thrush,Mistle Thrush,Mistle Thrushes
Crested Myna,Crested Myna,Crested Mynas
Common Myna,Common Myna,Common Mynas
Rosy Starling,Rosy Starling,Rosy Starlings
European/Spotless Starling,European/Spotless Starling,European/Spotless Starlings
European Starling,Starling,Starlings
Spotless Starling,Spotless Starling,Spotless Starlings
Greater Blue-eared Glossy-Starling,Greater Blue-eared Starling,Greater Blue-eared Starlings
Purple Glossy-Starling,Purple Starling,Purple Starlings
Alpine Accentor,Alpine Accentor,Alpine Accentors
Dunnock,Dunnock,Dunnocks
Western Yellow Wagtail,Yellow Wagtail,Yellow Wagtails
Western Yellow Wagtail (Gray-headed),Grey-headed Yellow Wagtail,Grey-headed Yellow Wagtails
Iberian Yellow Wagtail,Iberian Yellow Wagtail,Iberian Yellow Wagtails
Ashy-headed Wagtail,Ashy-headed Wagtail,Ashy-headed Wagtails
Western Yellow Wagtail (Black-headed),Black-headed Wagtail,Black-headed Wagtails
Citrine Wagtail,Citrine Wagtail,Citrine Wagtails
Gray Wagtail,Grey Wagtail,Grey Wagtails
White Wagtail,White Wagtail,White Wagtails
White Wagtail (White-faced),White Wagtail (White-faced),White Wagtails (White-faced)
White Wagtail (British),Pied Wagtail,Pied Wagtails
White Wagtail (Moroccan),Moroccan White Wagtail,Moroccan White Wagtails
Pipit sp.,Pipit sp.,Pipit sp.
Richard's Pipit,Richard's Pipit,Richard's Pipts
Blyth's Pipit,Blyth's Pipit,Blyth's Pipts
Tawny Pipit,Tawny Pipit,Tawny Pipts
Meadow Pipit,Meadow Pipit,Meadow Pipts
Tree Pipit,Tree Pipit,Tree Pipts
Olive-backed Pipit,Olive-backed Pipit,Olive-backed Pipits
Red-throated Pipit,Red-throated Pipit,Red-throated Pipts
Water Pipit,Water Pipit,Water Pipits
Rock Pipit,Rock Pipit,Rock Pipts
American Pipit,Buff-bellied Pipit,Buff-bellied Pipts
Bohemian Waxwing,Waxwing,Waxwings
Lapland Longspur,Lapland Bunting,Lapland Buntings
Snow Bunting,Snow Bunting,Snow Buntings
Ovenbird,Ovenbird,Ovenbirds
Northern Waterthrush,Northern Waterthrush,Northern Waterthrushes
Black-and-white Warbler,Black-and-white Warbler,Black-and-white Warblers
Tennessee Warbler,Tennessee Warbler,Tennessee Warblers
Common Yellowthroat,Common Yellowthroat,Common Yellowthroats
Hooded Warbler,Hooded Warbler,Hooded Warblers
American Redstart,American Redstart,American Redstarts
Northern Parula,Northern Parula,Northern Parulas
Magnolia Warbler,Magnolia Warbler,Magnolia Warblers
Yellow Warbler,Yellow Warbler,Yellow Warblers
Blackpoll Warbler,Blackpoll Warbler,Blackpoll Warblers
Black-throated Blue Warbler,Black-throated Blue Warbler,Black-throated Blue Warblers
Yellow-rumped Warbler (Myrtle),Yellow-rumped Warbler (Myrtle),Yellow-rumped Warbler (Myrtle)
Black-throated Green Warbler,Black-throated Green Warbler,Black-throated Green Warblers
Savannah Sparrow,Savannah Sparrow,Savannah Sparrows
White-crowned Sparrow,White-crowned Sparrow,White-crowned Sparrows
Dark-eyed Junco,Dark-eyed Junco,Dark-eyed Juncos
Yellowhammer,Yellowhammer,Yellowhammers
Cirl Bunting,Cirl Bunting,Cirl Buntings
Rock Bunting,Rock Bunting,Rock Buntings
Ortolan Bunting,Ortolan Bunting,Ortolan Buntings
Little Bunting,Little Bunting,Little Buntings
Rustic Bunting,Rustic Bunting,Rustic Buntings
Yellow-breasted Bunting,Yellow-breasted Bunting,Yellow-breasted Buntings
Pallas's Bunting,Pallas's Reed Bunting,Pallas's Reed Buntings
Reed Bunting,Reed Bunting,Reed Buntings
Corn Bunting,Corn Bunting,Corn Buntings
Summer Tanager,Summer Tanager,Summer Tanagers
Scarlet Tanager,Scarlet Tanager,Scarlet Tanagers
Rose-breasted Grosbeak,Rose-breasted Grosbeak,Rose-breasted Grosbeaks
Indigo Bunting,Indigo Bunting,Indigo Buntings
Dickcissel,Dickcissel,Dickcissels
Bobolink,Bobolink,Bobolinks
Common Chaffinch,Chaffinch,Chaffinches
Brambling,Brambling,Bramblings
Trumpeter Finch,Trumpeter Finch,Trumpeter Finches
Eurasian Bullfinch,Bullfinch,Bullfinches
Common Rosefinch,Common Rosefinch,Common Rosefinches
European Greenfinch,Greenfinch,Greenfinches
Red Crossbill,Crossbill,Crossbills
Common Redpoll,Common Redpoll,Common Redpolls
Hoary Redpoll (hornemanni),Arctic Redpoll,Arctic Redpolls
Eurasian Siskin,Siskin,Siskins
European Goldfinch,Goldfinch,Goldfinches
Twite,Twite,Twite
Eurasian Linnet,Linnet,Linnets
Citril Finch,Citril Finch,Citril Finches
European Serin,Serin,Serins
Island Canary,Atlantic Canary,Atlantic Canarys
Yellow-fronted Canary,Yellow-fronted Canary,Yellow-fronted Canaries
Hawfinch,Hawfinch,Hawfinches
House Sparrow,House Sparrow,House Sparrows
Spanish Sparrow,Spanish Sparrow,Spanish Sparrows
Eurasian Tree Sparrow,Tree Sparrow,Tree Sparrows
Rock Petronia,Rock Sparrow,Rock Sparrows
White-winged Snowfinch,White-winged Snowfinch,White-winged Snowfinches
Southern Masked-Weaver,Southern Masked Weaver,Southern Masked Weavers
Village Weaver,Village Weaver,Village Weavers
Black-headed Weaver,Black-headed Weaver,Black-headed Weavers
Streaked Weaver,Streaked Weaver,Streaked Weavers
Red-headed Quelea,Red-headed Quelea,Red-headed Queleas
Red-billed Quelea,Red-billed Quelea,Red-billed Queleas
Orange Bishop,Northern Red Bishop,Northern Red Bishops
Red Bishop,Southern Red Bishop,Southern Red Bishops
Black-winged Bishop,Black-winged Red Bishop,Black-winged Red Bishops
Yellow-crowned Bishop,Yellow-crowned Bishop,Yellow-crowned Bishops
Yellow-shouldered Widowbird,Yellow-mantled Widowbird,Yellow-mantled Widowbirds
Red-collared Widowbird,Red-collared Widowbird,Red-collared Widowbirds
Long-tailed Widowbird,Long-tailed Widowbird,Long-tailed Widowbirds
Lavender Waxbill,Lavender Waxbill,Lavender Waxbills
Orange-cheeked Waxbill,Orange-cheeked Waxbill,Orange-cheeked Waxbills
Crimson-rumped Waxbill,Crimson-rumped Waxbill,Crimson-rumped Waxbills
Black-rumped Waxbill,Black-rumped Waxbill,Black-rumped Waxbills
Common Waxbill,Common Waxbill,Common Waxbills
Crimson Seedcracker,Crimson Seedcracker,Crimson Seedcrackers
Red-cheeked Cordonbleu,Red-cheeked Cordon-bleu,Red-cheeked Cordon-bleu
Cut-throat,Cut-throat Finch,Cut-throat Finches
Zebra Waxbill,Zebra Waxbill,Zebra Waxbill
Red Avadavat,Red Avadavat,Red Avadavats
Zebra Finch,Zebra Finch,Zebra Finchs
African Silverbill,African Silverbill,African Silverbills
White-rumped Munia,White-rumped Munia,White-rumped Munias
Nutmeg Mannikin,Scaly-breasted Munia,Scaly-breasted Munias
Tricolored Munia,Tricolored Munia,Tricolored Munias
White-headed Munia,White-headed Munia,White-headed Munias
Java Sparrow,Java Sparrow,Java Sparrows
Pin-tailed Whydah,Pin-tailed Whydah,Pin-tailed Whydahs
Straw-tailed Whydah,Straw-tailed Whydah,Straw-tailed Whydahs
